を賠償する責任を負うとともに、秘密情報を記載又は包含した文書、記録媒体等の回収、本契約に違反す	0	c
る秘密情報の開示、漏洩又は利用により形成された成果の回収等を行い、相手方が被った損害を最小限	0	c
にとどめるよう最善の措置を講ずるものとする。	72	s
5    自社が多くの秘密情報を複製する必要性が高いケース等では、複製については、「事前の相手方の書面による承	0	x
諾なく『検討事項に必要な限度を超えて』複製してはならない」などとして複製禁止を緩和する方法もある。	0	x
2	0	e
AZX Professionals Group	0	e
        〒102-0083 東京都千代田区麹町 1-4 半蔵門ファーストビル 3 階	0	e
TEL:03-3512-2531(代表)        URL:http://www.azx.co.jp	0	e
FAX:03-3237-2175                  e-mail:contact@azx.co.jp	0	e
第 11条  契約内容の変更	0	d
本契約の内容は、本契約の当事者の書面による合意によってのみ変更することができる。	84	s
第 12条  譲渡禁止	0	d
本契約の当事者は、相手方の書面による事前の同意なくして、本契約の契約上の地位又は本契約に基づ	0	c
く権利若しくは義務につき、第三者に対する譲渡、担保設定、その他の処分をしてはならないものとする。	86	s
第 13条  完全合意	0	d
本契約は、本契約に含まれる事項に関する本契約の当事者間の完全な合意を構成し、口頭又は書面によ	0	c
るとを問わず、当事者間の本契約に定める事項に関する事前の合意、表明及び了解に優先する。	89	s
第 14条  準拠法及び管轄裁判所	0	d
本契約の準拠法は日本法とし、本契約に関連する一切の紛争については、東京地方裁判所を第一審の	0	c
専属管轄裁判所とする。	-1	s
本契約の成立の証として本書 2 通を作成し各当事者署名又は記名押印の上各 1 通を保管する。	0	s
20●年●月●日	0	x
甲      :  ●	0	x
●	0	x
代表取締役  ●	0	x
乙      :  ●	0	x
 ●	0	x
代表取締役  ●	0	x
3	0	e
AZX Professionals Group	0	e
        〒102-0083 東京都千代田区麹町 1-4 半蔵門ファーストビル 3 階	0	e
TEL:03-3512-2531(代表)        URL:http://www.azx.co.jp	0	e
FAX:03-3237-2175                  e-mail:contact@azx.co.jp	0	e
